"","SKU","Country","Segment","Group","Supplier","Brand"
"1","444646","tm","10100","101","aaa","tvvmn"
"2","004447","tm","10100","101","aaa","tvvmn"
"3","473928","tm","10110","101","hkh","tznnz"
"4","473912","tm","10110","101","hkh","tznnz"
"5","473545","tm","10110","101","hkh","tznnz"
"6","473566","tm","10110","101","hkh","tznnz"
"7","473531","tm","10110","101","hkh","tznnz"
"8","473523","tm","10110","101","hkh","tznnz"
"9","664642","tm","10110","101","uvvlm","sznnvirgv"
"10","664641","tm","10110","101","uvvlm","sznnvirgv"
"11","664648","tm","10110","101","uvvlm","sznnvirgv"
"12","664647","tm","10110","101","uvvlm","sznnvirgv"
"13","664640","tm","10110","101","uvvlm","sznnvirgv"
"14","664664","tm","10110","101","uvvlm","sznnvirgv"
"15","664666","tm","10110","101","uvvlm","sznnvirgv"
"16","664669","tm","10110","101","uvvlm","sznnvirgv"
"17","668745","tm","10110","101","hkh","tznnz"
"18","695748","tm","10110","101","uvvlm","sznnvirgv"
"19","698498","tm","10110","101","uvvlm","sznnvirgv"
"20","698490","tm","10110","101","uvvlm","sznnvirgv"
"21","698455","tm","10110","101","uvvlm","sznnvirgv"
"22","698451","tm","10110","101","uvvlm","sznnvirgv"
"23","651782","tm","10110","101","hkh","tznnz"
"24","682130","tm","10110","101","hkh","tznnz"
"25","682126","tm","10110","101","hkh","tznnz"
"26","949776","tm","10110","101","uvvlm","sznnvirgv"
"27","943552","tm","10110","101","uvvlm","sznnvirgv"
"28","942732","tm","10110","101","uvvlm","sznnvirgv"
"29","941285","tm","10110","101","uvvlm","sznnvirgv"
"30","964256","tm","10110","101","uvvlm","sznnvirgv"
"31","966883","tm","10110","101","uvvlm","sznnvirgv"
"32","965669","tm","10110","101","uvvlm","sznnvirgv"
"33","965820","tm","10110","101","uvvlm","sznnvirgv"
"34","962730","tm","10110","101","uvvlm","sznnvirgv"
"35","967134","tm","10110","101","uvvlm","sznnvirgv"
"36","996604","tm","10110","101","uvvlm","sznnvirgv"
"37","998243","tm","10110","101","uvvlm","sznnvirgv"
"38","998242","tm","10110","101","uvvlm","sznnvirgv"
"39","998241","tm","10110","101","uvvlm","sznnvirgv"
"40","998248","tm","10110","101","uvvlm","sznnvirgv"
"41","998263","tm","10110","101","uvvlm","sznnvirgv"
"42","952367","tm","10110","101","hkh","tznnz"
"43","952360","tm","10110","101","hkh","tznnz"
"44","952388","tm","10110","101","hkh","tznnz"
"45","923938","tm","10110","101","hkh","tznnz"
"46","988405","tm","10110","101","uvvlm","sznnvirgv"
"47","988402","tm","10110","101","uvvlm","sznnvirgv"
"48","988401","tm","10110","101","uvvlm","sznnvirgv"
"49","566560","tm","10110","101","hkh","tvvmn"
"50","566596","tm","10110","101","hkh","tvvmn"
"51","566595","tm","10110","101","hkh","tvvmn"
"52","566591","tm","10110","101","hkh","tvvmn"
"53","566598","tm","10110","101","hkh","tvvmn"
"54","566556","tm","10110","101","hkh","tvvmn"
"55","598291","tm","10110","101","zpal","uovcz"
"56","598298","tm","10110","101","zpal","uovcz"
"57","598297","tm","10110","101","zpal","uovcz"
"58","598290","tm","10110","101","zpal","uovcz"
"59","598254","tm","10110","101","zpal","uovcz"
"60","598259","tm","10110","101","zpal","uovcz"
